comment_id,language,category,comment,english_translation,severity,sentiment,toxicity_score,flag_reason,reviewer_verdict,corrected_category
C033692,Tamil,Offensive,இந்த நாய் எலெக்ஷன் அப்போ தெரு தெருவா கத்தினு இருந்துச்சு இப்ப இங்க வந்துஇருக்குது 🤣,,Medium,Negative,0.59,random baseline (calibration),,
C062193,Telugu,Offensive,"ఇలా చూడు, నీకు బుర్ర లేదా ఇలా మాట్లాడతావు !!!","see here, have you lost your mind, talking like this",Medium,Neutral,0.47,sentiment=Neutral but category=Offensive,,
C064609,Telugu,Offensive,"నిజం చెప్పాలంటే, ఇది చూసి నవ్వాలో ఏడవాలో అర్థం కావట్లేదు ఇది నిజం. 😔","honestly, don't know whether to laugh or cry seeing this this is true.",Medium,Neutral,0.58,sentiment=Neutral but category=Offensive,,
C066971,Telugu,Offensive,"మావా, ఇది చూసి నవ్వాలో ఏడవాలో అర్థం కావట్లేదు అర్థమైందా? smh","bro, don't know whether to laugh or cry seeing this got it?",Medium,Negative,0.36,random baseline (calibration),,
C018855,Kannada,Offensive,ಸಾಂಗ್ ಫಸ್ಟ್ ಲೈನ್ ಮ್ಯೂಸಿಕ್ ಸ್ವಲ್ಪ ಡಲ್,,Medium,Negative,0.56,random baseline (calibration),,
C053027,Telugu,Offensive,"ఊరికే చెప్తున్నా, ఇలాంటి పోస్టులు పెట్టేముందు కామన్‌సెన్స్ వాడు అంతే. 😢","just saying, use some common sense before posting things like this that's it.",Medium,Neutral,0.6,sentiment=Neutral but category=Offensive,,
C052488,Telugu,Hate Speech,"ఏయ్, ఆడవాళ్ళు ఇంట్లో ఉండాలి, ఆన్‌లైన్‌కి రావద్దు నమ్ము నన్ను.","hey, women should stay home, not come online trust me.",High,Neutral,0.7,sentiment=Neutral but category=Hate Speech,,
C010418,Roman Telugu,Hate Speech,Arey pilla bacha nayala niku chaduvu abbaledhu ani chepu direct ga sodhi enduku dengutav,,High,Negative,0.86,random baseline (calibration),,
C074669,Telugu,Offensive,"నిజం చెప్పాలంటే, ఇలాంటి చెత్త ఆలోచనలు ఎక్కడ నేర్చుకున్నావ్ సీరియస్‌గా. 😤","honestly, where did you learn such trashy thinking seriously.",Medium,Neutral,0.53,sentiment=Neutral but category=Offensive,,
C008789,Tamil,Offensive,இன்னும் கொஞ்ச நாளில் மிஷ்கின் மனநோயால் பாதிக்கபட்டு சிகிச்சை எடுக்கவேண்டி வரும் போல் இருக்கு.,,Medium,Negative,0.63,random baseline (calibration),,
C033001,Tamil,Offensive,திலித் சமுதாயத்துக்கு ஒன்னுனா ஆயிரம் ஏச்ச சமுக ஆர்வலர்கள் வருவானுங்க இடை நிலை சாதினா மூடிட்டு இருக்கனுங்க #திரௌபதி தீ யா இருக்கு,,Medium,Negative,0.58,random baseline (calibration),,
C022115,Tamil,Offensive,என்னதான் நீங்கள் படம் எடுத்தாலும் Climax காட்சியை சசிகலாவால் மட்டுமே எடுக்க முடியும்,,Medium,Negative,0.61,random baseline (calibration),,
C069290,Roman Telugu,Hate Speech,"Hey, Adavallu social media-lo undakudadu Anthe. 😡","hey, women shouldn't even be on social media that's it.",High,Neutral,0.57,sentiment=Neutral but category=Hate Speech,,
C013905,Tamil,Hate Speech,தளபதி ரசிகர்கள் கண்டிப்பாக இப்படத்தை வரவேற்பார்கள்....மிக மிக கேவலமாக இருக்கு...அதுக்கு தான் சொல்றேன்..,,High,Negative,0.86,random baseline (calibration),,
C060171,Telugu,Hate Speech,"విను, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు అర్థమైందా? 🔥","listen, there's no need to take people like this seriously at all got it?",High,Negative,0.68,random baseline (calibration),,
C053941,Telugu,Offensive,"విను, నువ్వు మాట్లాడేది ఎప్పుడూ అర్థం లేకుండా ఉంటుంది సీరియస్‌గా.","listen, what you say never makes any sense seriously.",Medium,Neutral,0.6,sentiment=Neutral but category=Offensive,,
C035737,Tanglish,Offensive,Enna da full story trailer la solita,,Medium,Negative,0.61,random baseline (calibration),,
C023272,Tanglish,Hate Speech,Eppaaa ennada comment box la varum jaathi pundayave iruku!! Manusana parungada padam puriyum...,,High,Negative,0.82,random baseline (calibration),,
C006379,Kanglish,Offensive,Avanu allla bro avaru annabeku,,Medium,Negative,0.63,random baseline (calibration),,
C044670,Kanglish,Hate Speech,6-5=2 nalli nijvadh video antha posteralli nodide but movie nodida mele gotthaythu adu sulu antha,,High,Negative,0.84,random baseline (calibration),,
C060030,Telugu,Hate Speech,"చూడు, ఆడవాళ్ళ మాటలు ఎప్పుడూ నమ్మకూడదు అసలు నిజంగా.","look, you should never trust what women say really.",High,Negative,0.6,random baseline (calibration),,
C072142,Roman Telugu,Offensive,"Urike cheptunna, Evadu adigadu nee opinion Nijanga. 🔥","just saying, who asked for your opinion really.",Medium,Neutral,0.62,sentiment=Neutral but category=Offensive,,
C059763,Roman Telugu,Hate Speech,"Mava, Adavallu intlo undali, online-ki ravaddu Seriously-ga. 🔥","bro, women should stay home, not come online seriously.",High,Negative,0.82,random baseline (calibration),,
C027023,Tanglish,Offensive,"Nee Free aa Ticket kodutha kuda na Viswasam dha Povan., Thiruku Thakida",,Medium,Negative,0.57,random baseline (calibration),,
C028328,Kannada,Hate Speech,ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ,,High,Negative,0.85,random baseline (calibration),,
C007313,Tamil,Offensive,"கோமாளிய எடுத்துட்டு கொம்மாலனு வச்சக்குங்க, பாடுகலா யார கலாய்க்கிரீங்க.",,Medium,Negative,0.63,random baseline (calibration),,
C054042,Telugu,Hate Speech,"బై ద వే, ఆడవాళ్ళకి సొంత ఒపీనియన్ ఉండదు, ఎవరో చెప్పింది వాడతారు గుర్తు పెట్టుకో. smh","by the way, women don't have their own opinions, they just repeat what someone told them remember this.",High,Neutral,0.57,sentiment=Neutral but category=Hate Speech,,
C052753,Telugu,Hate Speech,"ఊరికే చెప్తున్నా, వీళ్ళందరూ ఒక్కటే, అటెన్షన్ కోసమే ఇదంతా చేస్తారు ఇది నిజం. 😔","just saying, they're all the same, doing all this just for attention this is true.",High,Neutral,0.58,sentiment=Neutral but category=Hate Speech,,
C002747,Tamil,Hate Speech,படம் ஓடாது னு Trailer பாக்கும்போதே தெரியுது.... இருந்தாலும் வாழ்த்துக்கள்,,High,Negative,0.84,random baseline (calibration),,
C052257,Telugu,Hate Speech,"చూడు, వీళ్ళు మాట్లాడేది వినడం కూడా టైమ్ వేస్ట్ ఓకే నా? !!!","look, even listening to what they say is a waste of time ok?",High,Negative,0.56,random baseline (calibration),,
C062704,Telugu,Hate Speech,"చూడు, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే ఇది ఫైనల్. ??","look, they always have some complaint or the other, that's it this is final.",High,Neutral,0.62,sentiment=Neutral but category=Hate Speech,,
C055070,Telugu,Hate Speech,"విను, ఆడవాళ్ళ మాటలు ఎప్పుడూ నమ్మకూడదు అసలు నిజంగా. 🙄","listen, you should never trust what women say really.",High,Neutral,0.8,sentiment=Neutral but category=Hate Speech,,
C054669,Telugu,Offensive,"ఊరికే చెప్తున్నా, ఇంత చెత్త వీడియో ఎప్పుడూ చూడలేదు నమ్ము నన్ను. 🔥","just saying, never seen such a trash video trust me.",Medium,Neutral,0.45,sentiment=Neutral but category=Offensive,,
C018216,Kanglish,Offensive,Namdu mind set hege Andre,,Medium,Negative,0.59,random baseline (calibration),,
C053759,Roman Telugu,Hate Speech,"Nijam cheppalante, Vallu andaru okate group-lo untaru, nammadaniki ledu Anthe.","honestly, they're all part of the same group, can't be trusted that's it.",High,Neutral,0.6,sentiment=Neutral but category=Hate Speech,,
C059092,Telugu,Offensive,"మావా, నువ్వు మాట్లాడేముందు కాస్త ఆలోచించు నిజంగా. 🔥","bro, think a little before you speak really.",Medium,Neutral,0.48,sentiment=Neutral but category=Offensive,,
C068776,Telugu,Hate Speech,"ఏయ్, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు గుర్తు పెట్టుకో. ??","hey, there's no need to take people like this seriously at all remember this.",High,Neutral,0.79,sentiment=Neutral but category=Hate Speech,,
C021698,Roman Telugu,Hate Speech,nikhil neeku super jodi kaavya,,High,Negative,0.87,random baseline (calibration),,
C060896,Telugu,Hate Speech,"మావా, వీళ్ళకి ఎప్పుడూ విక్టిమ్ కార్డ్ ప్లే చేయడమే తెలుసు 🙄","bro, they only know how to play the victim card all the time",High,Neutral,0.77,sentiment=Neutral but category=Hate Speech,,
C070615,Roman Telugu,Offensive,"Mava, Neeku burra ledha ila maatladatavu Gurthu pettuko. smh","bro, have you lost your mind, talking like this remember this.",Medium,Neutral,0.57,sentiment=Neutral but category=Offensive,,
C074222,Telugu,Offensive,"విను, వేస్ట్ ఫెలో, ఎందుకు ఇలాంటి పోస్ట్ పెడతావు ఓకే నా?","listen, waste fellow, why do you post nonsense like this ok?",Medium,Negative,0.45,random baseline (calibration),,
C072767,Roman Telugu,Offensive,"Ila chudu, Nuvvu maatladeముందు kaastha aalochinchu Seriously-ga.","see here, think a little before you speak seriously.",Medium,Neutral,0.37,sentiment=Neutral but category=Offensive,,
C060610,Telugu,Hate Speech,"వీళ్ళు అందరూ ఒకటే గ్రూప్‌లో ఉంటారు, నమ్మడానికి లేదు అంతే. 🔥","they're all part of the same group, can't be trusted that's it.",High,Neutral,0.83,sentiment=Neutral but category=Hate Speech,,
C055721,Telugu,Hate Speech,"ఇలా చూడు, వీళ్ళందరూ ఒక్కటే, అటెన్షన్ కోసమే ఇదంతా చేస్తారు నమ్ము నన్ను. 😔","see here, they're all the same, doing all this just for attention trust me.",High,Negative,0.55,random baseline (calibration),,
C063628,Telugu,Hate Speech,"బై ద వే, ఇలాంటి వాళ్ళని సీరియస్‌గా తీసుకోవాల్సిన అవసరమే లేదు అంతే. 😡","by the way, there's no need to take people like this seriously at all that's it.",High,Neutral,0.57,sentiment=Neutral but category=Hate Speech,,
C027628,Kanglish,Offensive,Kannada badhiki bandhantaitu,,Medium,Negative,0.58,random baseline (calibration),,
C073746,Roman Telugu,Offensive,Ilanti chettha aalochanalu ekkada nerchukunnav Seriously-ga.,where did you learn such trashy thinking seriously.,Medium,Negative,0.6,random baseline (calibration),,
C064852,Roman Telugu,Offensive,"By the way, Noru moosuko, neeku sambandham ledu idulo 🔥","by the way, shut your mouth, this has nothing to do with you",Medium,Negative,0.6,random baseline (calibration),,
C067460,Telugu,Hate Speech,"మావా, వీళ్ళు అందరూ ఒకటే గ్రూప్‌లో ఉంటారు, నమ్మడానికి లేదు గుర్తు పెట్టుకో. !!!","bro, they're all part of the same group, can't be trusted remember this.",High,Neutral,0.67,sentiment=Neutral but category=Hate Speech,,
C054327,Telugu,Offensive,"విను, నీలాంటి వాళ్ళు వల్లే సోషల్ మీడియా పాడైపోయింది సీరియస్‌గా. 😤","listen, people like you have ruined social media seriously.",Medium,Neutral,0.51,sentiment=Neutral but category=Offensive,,
C013773,Kanglish,Offensive,K K guru yaru yargu kadime illa,,Medium,Negative,0.58,random baseline (calibration),,
C061785,Roman Telugu,Offensive,"By the way, Inta chettha video eppudu chudaledu 😡","by the way, never seen such a trash video",Medium,Negative,0.45,random baseline (calibration),,
C054876,Roman Telugu,Offensive,Dini kante better content ekkadaina dorukutundi Idi nijam. 🙄,you can find better content anywhere than this this is true.,Medium,Neutral,0.46,sentiment=Neutral but category=Offensive,,
C062442,Telugu,Hate Speech,"ఊరికే చెప్తున్నా, ఇలాంటి ఆడవాళ్ళే అసలు సమస్యలకి కారణం అంతే. ??","just saying, women like these are the real cause of problems that's it.",High,Neutral,0.61,sentiment=Neutral but category=Hate Speech,,
C040922,Kannada,Offensive,ಹೊಲಸ ರಾಜಕಿಯ ದಿಂದ ನಮ್ಮ ದೆಶ ಅದಕ್ಕೆ ಹಿಂದ ಉಳಿದಿದೆ,,Medium,Negative,0.57,random baseline (calibration),,
C024258,Tanglish,Offensive,Naanga padam pakkavey varamattom idhula unaa pakka vera varunuma poma,,Medium,Negative,0.59,random baseline (calibration),,
C071996,Roman Telugu,Hate Speech,"Okka maata, Ilanti adavalla valle magavallu badhapadedi Nijanga.","one thing, it's because of women like these that men suffer really.",High,Neutral,0.82,sentiment=Neutral but category=Hate Speech,,
C041980,Roman Telugu,Hate Speech,Thanks talli... Koncham naalika mandam laaga undhi.,,High,Negative,0.82,random baseline (calibration),,
C054324,Roman Telugu,Offensive,"Ila chudu, Ilanti chettha aalochanalu ekkada nerchukunnav Idi final. 😤","see here, where did you learn such trashy thinking this is final.",Medium,Neutral,0.49,sentiment=Neutral but category=Offensive,,
C011353,Tanglish,Hate Speech,1999 :padappa-vali now 2019 petta -viswasam,,High,Negative,0.85,random baseline (calibration),,
C052047,Telugu,Hate Speech,"చూడు, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే గుర్తు పెట్టుకో. smh","look, they always have some complaint or the other, that's it remember this.",High,Neutral,0.63,sentiment=Neutral but category=Hate Speech,,
